"direccion","barrio","metraje","moneda","precio","operacion","tipoPropiedad","fecha"
"Avenida Melián 2500","Belgrano",38,"dolares",63900,"venta","departamento",2015-08-20
"Avenida Melián 2500","Belgrano",50,"dolares",83050,"venta","departamento",2015-08-20
"Curapaligüe 100","Caballito",67,"dolares",107000,"venta","departamento",2015-08-20
"Pedro Echagüe 1700","Parque Patricios",28,"dolares",43900,"venta","departamento",2015-08-20
"Arias 3100","Saavedra",30,"pesos",815650,"venta","departamento",2015-08-20
"Arias 3100","Saavedra",38,"pesos",1631300,"venta","departamento",2015-08-20
"Arias 3100","Saavedra",38,"pesos",1156740,"venta","departamento",2015-08-20
"Arias 3100","Saavedra",51,"pesos",1408850,"venta","departamento",2015-08-20
"Castro 1100","Boedo",50,"pesos",1987600,"venta","departamento",2015-08-20
"Castro 1100","Boedo",45,"pesos",1477700,"venta","departamento",2015-08-20
"Castro 1100","Boedo",84,"pesos",3141500,"venta","departamento",2015-08-20
"Humahuaca 3800","Almagro",52,"dolares",92720,"venta","departamento",2015-08-20
"Humahuaca 3800","Almagro",39,"dolares",74000,"venta","departamento",2015-08-20
"Humahuaca 3800","Almagro",98,"dolares",185630,"venta","departamento",2015-08-20
"Humahuaca 3800","Almagro",72,"dolares",136000,"venta","departamento",2015-08-20
"Campichuelo 0","Caballito",51,"pesos",1374375,"venta","departamento",2015-08-20
"Campichuelo 0","Caballito",53,"pesos",1330974,"venta","departamento",2015-08-20
"Campichuelo 0","Caballito",59,"pesos",1547981,"venta","departamento",2015-08-20
"Campichuelo 0","Caballito",53,"pesos",1562448,"venta","departamento",2015-08-20
"Araoz 900","Villa Crespo",36,"dolares",65000,"venta","departamento",2015-08-20
"Araoz 900","Villa Crespo",41,"dolares",69000,"venta","departamento",2015-08-20
"Araoz 900","Villa Crespo",36,"dolares",69000,"venta","departamento",2015-08-20
"Araoz 900","Villa Crespo",36,"dolares",68000,"venta","departamento",2015-08-20
"Avalos 1300","Parque Chas",37,"dolares",74000,"venta","departamento",2015-08-20
"Araoz 200","Villa Crespo",40,"dolares",88000,"venta","departamento",2015-08-20
"Araoz 200","Villa Crespo",135,"dolares",300000,"venta","departamento",2015-08-20
"Araoz 200","Villa Crespo",115,"dolares",260000,"venta","departamento",2015-08-20
"Larrazabal, Av. 1600","Mataderos",25,"dolares",47500,"venta","departamento",2015-08-20
"Larrazabal, Av. 1600","Mataderos",25,"dolares",48500,"venta","departamento",2015-08-20
"Larrazabal, Av. 1600","Mataderos",25,"dolares",49500,"venta","departamento",2015-08-20
"Larrazabal, Av. 1600","Mataderos",25,"dolares",50500,"venta","departamento",2015-08-20
"Senillosa 400","Caballito",114,"dolares",295000,"venta","departamento",2015-08-20
"Senillosa 400","Caballito",114,"dolares",315000,"venta","departamento",2015-08-20
"Senillosa 400","Caballito",36,"dolares",84000,"venta","departamento",2015-08-20
